Institution 1,Institution 2,Institution 3,Serial Number,Chinese Title,Pinyin Title,English Title,Alt Title,Year Range,Note,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,142, 記室,ji shi,Record Keeper in a Commandery Princely Establishment,,,,,"Established during the Jianwen Reign, per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,143, 直史,zhi shi,Secretary in a Commandery Princely Establishment,,,,,"Established during the Jianwen Reign, per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,144, 左直史,zuo zhi shi,Left Secretary in a Commandery Princely Establishment,,,,,"Established during the Jianwen Reign, per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,145, 右直史,you zhi shi,Right Secretary in a Commandery Princely Establishment,,,,,"Established during the Jianwen Reign, per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,146, 吏目,li mu,Clerk in a Commandery Princely Establishment,,,,,"Established during the Jianwen Reign, per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,147, 典印,dian yin,Seal Keeper in a Commandery Princely Establishment,,,,,"Established during the Jianwen Reign, per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,148, 典祠,dian ci,Manager of Sacrifices in a Commandery Princely Establishment,,,,,"Established during the Jianwen Reign, per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,149, 典禮,dian li,Manager of Rituals in a Commandery Princely Establishment,,,,,"Established during the Jianwen Reign, per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,150, 典饌,dian zhuan,Provisioning Officer in a Commandery Princely Establishment,,,,,"Established during the Jianwen Reign, per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,151, 典膳 ,dian shan,Manager of Foods in a Commandery Princely Establishment,,,,,"Established during the Jianwen Reign, per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,152, 典藥,dian yao,Pharmacist in a Commandery Princely Establishment,,,,,"Established during the Jianwen Reign, per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,153, 典儀,dian yi,Manager of Ceremonies in a Commandery Princely Establishment,,,,,"Established during the Jianwen Reign, per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),154, 左相,zuo xiang,Left Administrator,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),155, 右相,you xiang,Right Administrator,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),156, 左傅,zuo fu,Left Mentor,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),157, 右傅,you fu,Right Mentor,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),158, 文傅,wen fu,Civil Mentor,,,,[Hongwu 3 (1370) – Hongwu 9 (1376)],
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),159, 武傅,wu fu,Military Mentor,,,,[Hongwu 3 (1370) – Hongwu 9 (1376)],
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),160, 參軍,can jun,Adjutant ,,,,[Hongwu 3 (1370) – Hongwu 9 (1376)],
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),161, 錄事,lu shi,Office Manager,,,,[Hongwu 3 (1370) – Hongwu 9 (1376)],
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),162, 紀善,ji shan,Moral Mentor ,alt. 王府紀善 wang fu ji shan,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),163, 典籤 ,dian qian,Document Clerk in a Princely Establishment,,,,[Hongwu 3 (1370) – Hongwu 9 (1376)],
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),164, 諮議官,zi yi guan,Adviser in a Princely Establishment,,,,[Hongwu 3 (1370) – Hongwu 9 (1376)],
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),165, 審理正,shen li zheng,Director of Discipline,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),166, 審理副,shen li fu,Vice Director of Discipline,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),167, 典祠正,dian ci zheng,Director of Sacrifices,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),168, 典祠副,dian ci fu,Vice Director of Sacrifices,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),169, 典寶正,dian bao zheng,Director of the Seals Office,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),170, 典寶副,dian bao fu,Vice Director of the Seals Office,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),171, 典儀正,dian yi zheng,Director of Ceremonies ,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),172, 典儀副,dian yi fu,Vice Director of Ceremonies,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),173, 典膳正,dian shan zheng,Director of Foods ,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),174, 典膳副,dian shan fu,Vice Director of Foods,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),175, 典服正,dian fu zheng,Director of Wardrobe,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),176, 典服副,dian fu fu,Vice Director of Wardrobe,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),177, 工正,gong zheng,Construction Foreman,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),178, 工副,gong fu,Assistant Construction Foreman,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),179, 醫正,yi zheng,Midical Director,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),180, 醫副,yi fu,Vice Medical Director,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),181, 牧正,mu zheng,Pasturage Director ,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),182, 牧副,mu fu,Pasturage Vice Director ,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),183, 引禮舍人,yin li she ren,Houseman Receptionist,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),184, 伴讀,ban du,Reader-companion,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王相府 Princely Establishments (Hongwu 3 (1370) - Hongwu 13 (1380)),185, 侍讀,shi du,Reader-in-waiting,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,公主府 Princess Establishment,186, 家令,jia ling,Household Provisioner of the Office of Domestic Affairs,,,,,"Established in Hongwu 7 (1374) , and was replaced with 中使司正 zhong shi si zheng in Hongwu 23 (1390)"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,公主府 Princess Establishment,187, 司丞,si cheng,Deputy Overseer ,,,,[Hongwu 7 (1374) - Hongwu 23 (1390)],
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,公主府 Princess Establishment,188, 錄事,lu shi,Office Manager,,,,[Hongwu 7 (1374) - Hongwu 23 (1390)],
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,公主府 Princess Establishment,189, 中使司正,zhong shi si zheng,Supervisor of a Princess Establishment,,,,, Replaced 家令 jia ling in Hongwu 23 (1390) 
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,公主府 Princess Establishment,190, 中使司副,zhong shi si fu,Deputy Supervisor of a Princess Establishment,,,,[Hongwu 23 (1390) -],
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,191, 提督太監,ti du tai jian,Eunuch Superintendent ,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,192, 掌印太監,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,193, 秉筆太監,bing bi tai jian,Eunuch Director of Brush-writing,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,194, 隨堂太監,sui tang tai jian,Chief Eunuch Secretary,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,195, 掌司（書籍名畫等庫）,shu ji ming hua deng ku zhang si,Eunuch-in-Charge of Books and Famous Paintings in the Court Library,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,196, 掌司（內書堂）,nei shu tang zhang si ,Eunuch-in-Charge of the Eunuch School,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,197, 掌司（六科廊）,liu ke lang zhang si ,Eunuch-in-Charge of the Office of Scrutiny ,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,198, 典簿,dian bu,Eunuch Archivist,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,199, 掌房（文書房）,wen shu fang zhang fang,Eunuch-in-Charge of the Palace Secretariat,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,200, 掌房（中書房）,zhong shu fang zhang fang,Eunuch-in-Charge of the Secretariat Office,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,201, 提督太監（禮儀房）,li yi fang ti du tai jian,Eunuch Superintendent of the Office of Ceremonial Propriety,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,202, 司禮（禮儀房）,li yi fang si li,Eunuch-in-Charge of Rites in the Office of Ceremonial Propriety,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,203, 掌印（禮儀房）,li yi fang zhang yin,Seal-holding Eunuch in the Office of Ceremonial Propriety,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,204, 秉筆（禮儀房）,li yi fang bing bi,Eunuch Wielder of the Brush in the Office of Ceremonial Propriety,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,205, 掌司（禮儀房）,li yi fang zhang si,Eunuch-in-Charge of the Office of Ceremonial Propriety,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,206, 寫字（禮儀房）,li yi fang xie zi ,Transcribing Eunuch in the Office of Ceremonial Propriety,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,207, 管事（禮儀房）,li yi fang guan shi ,Supervising Eunuch in the Office of Ceremonial Propriety,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,208, 長隨（禮儀房）,li yi fang chang sui ,Personal Eunuch Attendant in the Office of Ceremonial Propriety,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,209, 掌司（漢經廠）,han jing chang zhang si,Eunuch-in-Charge of the Palace Buddhist Office,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,210, 掌司（番經廠）,fan jing chang zhang si,Eunuch-in-Charge of the Lamaist Office,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,211, 太監,tai jian,Eunuch Director,,,,,Under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,212, 左少監,zuo shao jian,Senior Vice Eunuch Director,,,,,Under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,213, 右少監,you shao jian,Junior Vice Eunuch Director ,,,,,Under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,214, 左監丞,zuo jian cheng,Senior Assistant Eunuch Director,,,,,Under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,215, 右監丞,you jian cheng,Junior Assistant Eunuch Director,,,,,Under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,216, 長隨,chang sui,Personal Eunuch Attendant,,,,,Under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,司禮監 The Directorate of Ceremonial,217, 奉御,feng yu,Chief Steward,,,,,Under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,內官監 The Directorate of Palace Eunuchs,218, 掌印太監,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,內官監 The Directorate of Palace Eunuchs,218, 掌印太監,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,內官監 The Directorate of Palace Eunuchs,220, 管理太監,guan li tai jian,Eunuch Manager,,,,,
